ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
abaza,,7,abz,abq,{},44.0,42.0,Eurasia,,Abaza,16,False,False
abkhaz,,7,abk,abk,{},43.0833333333,41.0,Eurasia,,Abkhaz,9,True,True
acehnese,,14,ace,ace,{},5.5,95.5,Eurasia,,Acehnese,17,False,False
achang,,20,acn,acn,{},25.0,98.5,Eurasia,,Achang,23,False,False
adyghe abzakh,,7,ady,ady,{},45.2333333333,40.5833333333,Eurasia,,Adyghe (Abzakh),32,False,False
adyghe shapsugh,,7,ash,ady,{},45.0,38.75,Eurasia,,Adyghe (Shapsugh),152,False,False
adyghe temirgoy,,7,adt,ady,{},45.2166666667,39.7,Eurasia,,Adyghe (Temirgoy),31,False,False
aghul,,32,agl,agx,{},41.75,47.6666666667,Eurasia,,Aghul,43,False,False
ainu,,40,ain,ain,{},43.0,143.0,Eurasia,,Ainu,55,False,True
akabiada,,43,akb,abj,{},11.6666666667,92.5,Eurasia,,Aka-Biada,61,False,False
akacari,,43,akc,aci,{},13.5,93.0,Eurasia,,Aka-Cari,62,False,False
akakede,,43,akk,akx,{},12.75,92.75,Eurasia,,Aka-Kede,64,False,False
akha,,20,akh,ahk,{},21.8333333333,99.8333333333,Eurasia,,Akha,63,False,False
akhvakh,,74,axv,akv,{},42.3333333333,46.3333333333,Eurasia,,Akhvakh,187,False,False
albanian,,47,alb,"aln, als",{},41.0,20.0,Eurasia,,Albanian,72,False,False
alsatian,,27,alt,gsw,{},48.5,7.5,Eurasia,,Alsatian,81,False,False
altai southern,,83,aso,alt,{},51.0,87.0,Eurasia,,Altai (Southern),155,False,False
alutor,,51,alu,alr,{},61.0,165.0,Eurasia,,Alutor,82,False,False
amdo,,56,amd,adx,{},35.0,100.0,Eurasia,,Amdo,89,False,False
amdo themchen,,56,amt,adx,{},38.0,98.0,Eurasia,,Amdo (Themchen),102,False,False
andi,,74,anx,ani,{},42.75,46.25,Eurasia,,Andi,117,False,False
angami,,33,agm,"njm, nri",{},25.6666666667,94.5,Eurasia,,Angami,44,False,False
anong,,72,ano,nun,{},27.3333333333,98.75,Eurasia,,Anong,114,False,False
ao,,33,ao,njo,{},26.5833333333,94.6666666667,Eurasia,,Ao,119,False,False
apatani,,76,apt,apt,{},27.5,93.75,Eurasia,,Apatani,128,False,False
apucikwar,,43,apk,apq,{},12.1666666667,92.8333333333,Eurasia,,A-Pucikwar,126,False,False
arabic bahrain,,4,abh,abv,{},26.0,50.5,Eurasia,,Arabic (Bahrain),7,False,False
arabic beirut,,4,abe,apc,{},33.9166666667,35.5,Eurasia,,Arabic (Beirut),6,False,False
arabic gulf,,4,arg,afb,{},26.0,49.0,Eurasia,,Arabic (Gulf),135,False,False
arabic hijazi,,4,arh,acw,{},26.0,38.0,Eurasia,,Arabic (Hijazi),136,False,False
arabic iraqi,,4,arq,acm,{},33.0,44.0,Eurasia,,Arabic (Iraqi),145,False,False
arabic kormakiti,,4,ako,acy,{},35.25,33.5,Eurasia,,Arabic (Kormakiti),68,False,False
arabic kuwaiti,,4,arj,afb,{},29.5,47.5,Eurasia,,Arabic (Kuwaiti),138,False,False
arabic lebanese,,4,arl,apc,{},34.0,36.0,Eurasia,,Arabic (Lebanese),140,False,False
arabic modern standard,,4,ams,arb,{},25.0,42.0,Eurasia,,Arabic (Modern Standard),101,False,False
arabic negev,,4,arv,ajp,{},30.5,34.75,Eurasia,,Arabic (Negev),148,False,False
arabic north levantine spoken,,4,anl,apc,{},33.75,36.0,Eurasia,,Arabic (North Levantine Spoken),112,False,False
arabic palestinian,,4,apa,ajp,{},32.0,35.25,Eurasia,,Arabic (Palestinian),121,False,False
arabic sanani,,4,ars,ayn,{},16.0,44.0,Eurasia,,Arabic (San'ani),147,False,False
arabic syrian,,4,asy,apc,{},34.0,38.0,Eurasia,,Arabic (Syrian),159,False,False
arakanese marma,,20,akm,rmz,{},21.5,92.5,Eurasia,,Arakanese (Marma),66,False,False
archi,,32,arc,aqc,{},42.0,46.8333333333,Eurasia,,Archi,133,False,False
armenian eastern,,81,arm,hye,{},40.0,45.0,Eurasia,,Armenian (Eastern),141,False,True
armenian iranian,,81,arz,hye,{},32.6666666667,51.6666666667,Eurasia,,Armenian (Iranian),151,False,False
armenian western,,81,arw,hye,{},38.5,43.5,Eurasia,,Armenian (Western),149,False,False
assamese,,84,ass,asm,{},26.0,93.0,Eurasia,,Assamese,156,False,False
asturian,,85,ast,ast,{},43.25,-6.0,Eurasia,,Asturian,157,False,False
athpare,,88,ath,aph,{},27.0,87.3333333333,Eurasia,,Athpare,163,False,False
avar,,74,ava,ava,{},42.5,46.5,Eurasia,,Avar,174,False,False
awadhi,,84,awd,awa,{},27.5,81.5,Eurasia,,Awadhi,179,False,False
aynu,,83,ayn,aib,{},39.5,76.0,Eurasia,,Aynu,190,False,False
azari iranian,,83,azi,azb,{},37.5,47.0,Eurasia,,Azari (Iranian),195,False,False
azerbaijani,,83,aze,"azb, azj",{},40.5,48.5,Eurasia,,Azerbaijani,194,False,False
badaga,,116,bdg,bfq,{},11.6666666667,76.75,Eurasia,,Badaga,226,False,False
bagri,,84,bgi,bgq,{},29.5833333333,74.3333333333,Eurasia,,Bagri,248,False,False
bagvalal,,74,bgv,kva,{},42.5833333333,46.1666666667,Eurasia,,Bagvalal,255,False,False
bahnar,,157,bpb,bdq,{},13.8333333333,108.333333333,Eurasia,,Bahnar,335,False,False
